MESSENGER_TEAM	Team
CUBE_CATEGOR_SKILL_BOOK	Ksiêga Umiejêtnoœci
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Co najmniej jeden u¿yty przedmiot jest wyj¹tkowo cenny (ma wiêcej ni¿ %d bonusów).
CUBE_MAKE_CONFIRM_QUESTION_2	Czy naprawdê chcesz kontynuowaæ?
CUBE_NOT_ENOUGH_GEM	Masz za ma³o Gaya.
CUBE_NOT_ENOUGH_GOLD	Za ma³o Yang do wytworzenia.
CUBE_NOT_ENOUGH_MATERIAL	Za ma³o materia³u do wytworzenia.
CUBE_PLEASE_SELECT	Nie wybrano przedmiotów.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Pozosta³y czas: {0} ~ {1} godz.
CZ_REWARD_QUESTION_COMPLETE	Chcesz zrealizowaæ to pole?
CZ_REWARD_TOOLTIP_10GAN	Insygnia Zodiaku
CZ_REWARD_TOOLTIP_10GAN_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_12ZI	Insygnia Stra¿nika
CZ_REWARD_TOOLTIP_12ZI_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_ALL_BOX	Gwiezdny Skarb
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Gwiezdny Skarb.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Skarb Aventurin.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Skarb Aureolin.
CZ_REWARD_TOOLTIP_COMPLETABLE	Zrealizuj
CZ_REWARD_TOOLTIP_GREEN_BOX	Skarb Aventurin
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Zrealizowane Skarby Aventurin: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dzieñ
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Pi¹tek
CZ_REWARD_TOOLTIP_WEEKLY_MON	Poniedzia³ek
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sobota
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sobota/Niedziela
CZ_REWARD_TOOLTIP_WEEKLY_THU	Czwartek
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Wtorek
CZ_REWARD_TOOLTIP_WEEKLY_WED	Œroda
CZ_REWARD_TOOLTIP_YELLOW_BOX	Skarb Aureolin
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Zrealizowane Skarby Aureolin: %d
DAY	d
DETAILS_0	Silny przeciwko Metinom
DETAILS_1	Silny przeciwko Ludziom
DETAILS_10	Si³a vs Pot. Pustyni
DETAILS_11	Silny przeciwko Insektom
DETAILS_12	Si³a Ataku
DETAILS_13	Si³a Obrony
DETAILS_14	Przeciêtne Obra¿enia
DETAILS_15	Odp. na Przeciê.Obr.
DETAILS_16	Obra¿. umiejêtnoœci
DETAILS_17	Odpornoœæ na obra¿. umiej.
DETAILS_18	Mag./Krótkodyst. Atak
DETAILS_19	Magiczny Atak
DETAILS_2	Odpornoœæ vs Ludziom
DETAILS_20	Szansa na Cios Kryt.
DETAILS_21	Przeszyw. Cios
DETAILS_22	Odp. na Kryt. Cios
DETAILS_23	Odp. na Przesz. Cios
DETAILS_24	Odp. na B³yskawice
DETAILS_25	Odp. na Lód
DETAILS_26	Odp. na Mrok
DETAILS_27	Odp. na Ogieñ
DETAILS_28	Odp. na Wiatr
DETAILS_29	Odp. na Ziemiê
DETAILS_3	Silny przeciwko Orkom
DETAILS_30	Moc B³yskawic
DETAILS_31	Moc Lodu
DETAILS_32	Moc Mroku
DETAILS_33	Moc Ognia
DETAILS_34	Moc Wiatru
DETAILS_35	Moc Ziemi
DETAILS_36	Si³a vs Wojownikom
DETAILS_37	Si³a vs Ninja
DETAILS_38	Si³a vs Sura
DETAILS_39	Si³a vs Szamanom
DETAILS_4	Si³a vs Nieumar³ym
DETAILS_40	Si³a vs Likanom
DETAILS_41	Obrona vs Wojownikom
DETAILS_42	Obrona vs Ninja
DETAILS_43	Obrona vs Sura
DETAILS_44	Obrona vs Szamanom
DETAILS_45	Obrona vs Likanom
DETAILS_46	Odpornoœæ na Miecz
DETAILS_47	Odp. na Br. Dwurêczn¹
DETAILS_48	Odpornoœæ na Sztylet
DETAILS_49	Odpornoœæ na Szpon
DETAILS_5	Silny przeciwko Potworom
DETAILS_50	Odpornoœæ na Dzwon
DETAILS_51	Odpornoœæ na Wachlarz
DETAILS_52	Odpornoœæ na Strza³
DETAILS_53	Szansa na Omdlenie
DETAILS_54	Szansa na Spowolnie.
DETAILS_55	Szansa na Zatrucie
DETAILS_56	Odp. na Truciznê
DETAILS_57	Atak Krwawienia
DETAILS_58	Odp. Atak Krw.
DETAILS_59	Kradzie¿ ¯ycia
DETAILS_6	Si³a vs Potw. Zodiaku
DETAILS_60	Kradzie¿ PE
DETAILS_61	Regeneracja P¯
DETAILS_62	Regeneracja PE
DETAILS_63	Blok Ataku
DETAILS_64	Unik Strza³y
DETAILS_65	Odbicie Walki. Wrêcz
DETAILS_66	Reg. P¯ przy Zabiciu
DETAILS_67	Reg. PE przy Zabiciu
DETAILS_68	2x PD
DETAILS_69	2x Yang
DETAILS_7	Silny przeciwko Zwierzêtom
DETAILS_70	Szansa Dropu
DETAILS_71	Si³a Ataku
DETAILS_72	Obrona
DETAILS_73	PD
DETAILS_74	Szansa Dropu
DETAILS_75	2x Yang
DETAILS_76	Odp. na Magiê
DETAILS_77	Antymagia
DETAILS_78	Odpornoœæ na Potwory
DETAILS_8	Silny przeciwko Mistykom
DETAILS_9	Silny przeciwko Diab³om
DETAILS_ATTBONUS_BELL	Z³amanie Dzwonu
DETAILS_ATTBONUS_BOW	Z³amanie Strza³y
DETAILS_ATTBONUS_CLAW	Z³amanie Szponów
DETAILS_ATTBONUS_DAGGER	Z³amanie Sztyletu
DETAILS_ATTBONUS_FAN	Z³amanie Wachlarza
DETAILS_ATTBONUS_SWORD	Z³amanie Miecza
DETAILS_ATTBONUS_TWOHAND	Z³amanie Broni oburêcznej
DETAILS_CATE_1	Obra¿enia/Obrona
DETAILS_CATE_2	Bonusy ¿ywio³owe
DETAILS_CATE_3	Bonusy klasowe
DETAILS_CATE_4	Bonus broni
DETAILS_CATE_5	Inne bonusy
DETAILS_CATE_6	Bonusy specjalne
DETAILS_HIT_PCT	Precyzja
DETAILS_RESIST_MOUNT_FALL	Odpornoœæ na Upadek
DETAILS_TITLE	Szczegó³y
DETAILS_TOOLTIP_0	Si³a w walce z kamieniami Metin: zadaje wiêksze obra¿enia kamieniom Metin
DETAILS_TOOLTIP_1	Si³a w walce z LudŸmi: zadaje wiêcej obra¿eñ Ludziom.
DETAILS_TOOLTIP_10	Si³a w walce z potworami pustyni: zadaje wiêksze obra¿enia potworom pustyni.
DETAILS_TOOLTIP_11	Si³a w walce z insektami: zadaje wiêksze obra¿enia insektom.
DETAILS_TOOLTIP_12	Zwiêksza twoj¹ si³ê ataku.
DETAILS_TOOLTIP_13	Zwiêksza twoj¹ si³ê obrony.
DETAILS_TOOLTIP_14	Zwiêksza przeciêtne obra¿enia, które zadajesz przeciwnikom podczas ataku
DETAILS_TOOLTIP_15	Odpornoœæ na przeciêtne obra¿enia: zmniejsza obra¿enia, które odnosisz podczas ataku.
DETAILS_TOOLTIP_16	Zwiêksza obra¿enia zadawane przez umiejêtnoœæ.
DETAILS_TOOLTIP_17	Odpornoœæ na obra¿enia umiejêtnoœci: zmniejsza obra¿enia, które odnosisz wskutek umiejêtnoœci.
DETAILS_TOOLTIP_18	Zwiêksza zarówno fizyczn¹ jak i magiczn¹ si³ê ataku.
DETAILS_TOOLTIP_19	Zwiêksza obra¿enia, które zadajesz przeciwnikom za pomoc¹ magicznych ataków.
DETAILS_TOOLTIP_2	Odpornoœæ na Ludzi: zmniejsza obra¿enia zadawane przez Ludzi.
DETAILS_TOOLTIP_20	Zwiêksza szansê na zadanie ciosu krytycznego.
DETAILS_TOOLTIP_21	Szansa na przeszywaj¹cy cios: zwiêksza szansê na zadanie przeszywaj¹cego ciosu.
DETAILS_TOOLTIP_22	Odpornoœæ na cios krytyczny: zmniejsza obra¿enia odnoszone wskutek ciosu krytycznego.
DETAILS_TOOLTIP_23	Odpornoœæ na przeszywaj¹cy cios: zmniejsza obra¿enia odnoszone wskutek przeszywaj¹cego ciosu.
DETAILS_TOOLTIP_24	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_25	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_26	Odpornoœæ na mrok: zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_27	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_28	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_29	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_3	Si³a w walce z orkami: zadaje wiêksze obra¿enia orkom.
DETAILS_TOOLTIP_30	Zwiêksza obra¿enia, które zadajesz za pomoc¹ b³yskawic.
DETAILS_TOOLTIP_31	Zwiêksza obra¿enia, które zadajesz za pomoc¹ lodu.
DETAILS_TOOLTIP_32	Zwiêksza obra¿enia, które zadajesz za pomoc¹ mroku.
DETAILS_TOOLTIP_33	Zwiêksza obra¿enia, które zadajesz za pomoc¹ ognia.
DETAILS_TOOLTIP_34	Zwiêksza obra¿enia, które zadajesz za pomoc¹ wiatru.
DETAILS_TOOLTIP_35	Zwiêksza obra¿enia, które zadajesz za pomoc¹ ziemi.
DETAILS_TOOLTIP_36	Si³a w walce z wojownikami: zadaje wiêksze obra¿enia wojownikom.
DETAILS_TOOLTIP_37	Si³a w walce z ninja: zadaje wiêksze obra¿enia ninja.
DETAILS_TOOLTIP_38	Si³a w walce z sura: zadaje wiêksze obra¿enia sura.
DETAILS_TOOLTIP_39	Si³a w walce z szamanami: zadaje wiêksze obra¿enia szamanom.
DETAILS_TOOLTIP_4	Si³a w walce z nieumar³ymi: zadaje wiêksze obra¿enia nieumar³ym.
DETAILS_TOOLTIP_40	Si³a w walce z likanami: zadaje wiêksze obra¿enia likanom.
DETAILS_TOOLTIP_41	Odpornoœæ na Wojowników: zmniejsza obra¿enia, które odnosisz z rêki Wojowników.
DETAILS_TOOLTIP_42	Odpornoœæ na Ninja: zmniejsza obra¿enia, które odnosisz z rêki Ninja.
DETAILS_TOOLTIP_43	Odpornoœæ na Sura: zmniejsza obra¿enia, które odnosisz z rêki Sura.
DETAILS_TOOLTIP_44	Odpornoœæ na Szamanów: zmniejsza obra¿enia, które odnosisz z rêki Szamanów.
DETAILS_TOOLTIP_45	Odpornoœæ na Likanów: zmniejsza obra¿enia, które odnosisz z rêki Likanów.
DETAILS_TOOLTIP_46	Zmniejsza obra¿enia zadawane mieczem.
DETAILS_TOOLTIP_47	Zmniejsza obra¿enia zadawane broni¹ dwurêczn¹.
DETAILS_TOOLTIP_48	Zmniejsza obra¿enia zadawane sztyletem.
DETAILS_TOOLTIP_49	Zmniejsza obra¿enia zadawane szponem.
DETAILS_TOOLTIP_5	Si³a w walce z potworami: zadaje wiêksze obra¿enia potworom.
DETAILS_TOOLTIP_50	Zmniejsza obra¿enia zadawane dzwonem.
DETAILS_TOOLTIP_51	Zmniejsza obra¿enia zadawane wachlarzem.
DETAILS_TOOLTIP_52	Zmniejsza obra¿enia zadawane ³ukiem i strza³ami.
DETAILS_TOOLTIP_53	Zwiêksza szansê wywo³ania u przeciwnika efektu omdlenia.
DETAILS_TOOLTIP_54	Zwiêksza szansê na spowolnienie przeciwnika.
DETAILS_TOOLTIP_55	Zwiêksza szansê na zatrucie przeciwnika.
DETAILS_TOOLTIP_56	Zmniejsza obra¿enia zadawane trucizn¹.
DETAILS_TOOLTIP_57	Zwiêksza szansê na wykonanie ataku krwawienia.
DETAILS_TOOLTIP_58	Odpornoœæ na atak krwawienia: zmniejsza obra¿enia zadawane atakiem krwawienia.
DETAILS_TOOLTIP_59	Przy trafieniu absorbuje P¯ przeciwnika.
DETAILS_TOOLTIP_6	Si³a w walce z potworami Zodiaku: zadaje wiêksze obra¿enia potworom Zodiaku.
DETAILS_TOOLTIP_60	Przy trafieniu absorbuje PE przeciwnika.
DETAILS_TOOLTIP_61	Przyspiesza regeneracjê twoich punktów ¿ycia.
DETAILS_TOOLTIP_62	Przyspiesza regeneracjê twoich punktów energii.
DETAILS_TOOLTIP_63	Szansa na blok ciosów: zwiêksza szansê na unikniêcie ataku z krótkiego dystansu.
DETAILS_TOOLTIP_64	Szansa na unikniêcie strza³y: zwiêksza szansê na unikniêcie strza³y lub d³ugodystansowego ataku potwora.
DETAILS_TOOLTIP_65	Szansa na odbicie ciosu: czêœæ obra¿eñ od ciosu jest odbijana do przeciwnika.
DETAILS_TOOLTIP_66	Regeneracja P¯ przy zabiciu: zabicie przeciwnika podwy¿sza twoje punkty ¿ycia.
DETAILS_TOOLTIP_67	Regeneracja PE przy zabiciu: zabicie przeciwnika podwy¿sza twoje punkty energii.
DETAILS_TOOLTIP_68	Szansa na otrzymanie podwójnego doœwiadczenia: zwiêksza szansê na bonusowe PD po pokonaniu przeciwnika.
DETAILS_TOOLTIP_69	Szansa na drop podwójnej iloœci Yang: zwiêksza szansê na otrzymanie podwójnej iloœci Yang.
DETAILS_TOOLTIP_7	Si³a w walce ze zwierzêtami: zadaje wiêksze obra¿enia dzikim zwierzêtom.
DETAILS_TOOLTIP_70	Szansa na drop przedmiotów: zwiêksza szansê na podwójny ³up przedmiotów.
DETAILS_TOOLTIP_71	Zwiêksza twoj¹ si³ê ataku.
DETAILS_TOOLTIP_72	Zwiêksza twoj¹ si³ê obrony.
DETAILS_TOOLTIP_73	Zwiêksza wzrost doœwiadczenia.
DETAILS_TOOLTIP_74	Szansa na drop przedmiotów: zwiêksza szansê na zdobycie przedmiotów.
DETAILS_TOOLTIP_75	Szansa na drop Yang: zwiêksza szansê na zdobycie wiêcej Yang.
DETAILS_TOOLTIP_76	Zmniejsza obra¿enia odnoszone wskutek magicznych ataków.
DETAILS_TOOLTIP_77	Zmniejsza odpornoœæ na magiê twojego przeciwnika.
DETAILS_TOOLTIP_78	Obra¿enia zdane przez potwory zostan¹ zmniejszone.
DETAILS_TOOLTIP_8	Si³a w walce z mistykami: zadaje wiêksze obra¿enia mistykom.
DETAILS_TOOLTIP_9	Si³a w walce z diab³ami: zadaje wiêksze obra¿enia diab³om.
DETAILS_TOOLTIP_ATTBONUS_BELL	Z³amanie Odpornoœci na Dzwony: zmniejsza odpornoœæ na dzwony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_BOW	Z³amanie Odpornoœci na Strza³y: zmniejsza odpornoœæ na strza³y przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Z³amanie Odpornoœci na Szpony: zmniejsza odpornoœæ na szpony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Z³amanie Odpornoœci na Sztylety: zmniejsza odpornoœæ na sztylety przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_FAN	Z³amanie Odpornoœci na Wachlarze: zmniejsza odpornoœæ na wachlarze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Z³amanie Odpornoœci na Miecze: zmniejsza odpornoœæ na miecze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Z³amanie Odpornoœci na Bronie oburêczne: zmniejsza odpornoœæ na bronie oburêczne przeciwnika.
DETAILS_TOOLTIP_HIT_PCT	Zwiêksza szansê na trafienie przeciwnika
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Odpornoœæ na Upadek: zmniejsza ryzyko upadku z wierzchowca.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nie mo¿esz przemieszczaæ przedmiotów w trakcie zapytania.
DO_NOT_INSERT_UPBRINGING_PET	Nie mo¿na wybraæ aktywnego zwierzaka.
DO_YOU_BUY_ITEM1	Czy chcesz kupiæ przedmiot %s za %s?
DO_YOU_BUY_ITEM2	Czy chcesz kupiæ przedmiot %s (%s szt.) za %s Yang?
DO_YOU_BUY_ITEM3	Czy chcesz kupiæ przedmiot %s za %s i %s?
DO_YOU_BUY_ITEM4	Czy chcesz kupiæ przedmiot %s (%s szt.) za %s i %s?
DO_YOU_DROP_MONEY	Czy chcesz upuœciæ %d Yang?
DO_YOU_SELL_ITEM1	Czy chcesz sprzedaæ %s za %s?
DO_YOU_SELL_ITEM2	Czy chcesz sprzedaæ %s (%s szt.) za %s?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_SOUL_CANNOT_REFINE	Nie mo¿esz uszlachetniæ tego Smoczego Kamienia.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ten Smoczy Kamieñ osi¹gn¹³ ju¿ najwy¿szy poziom.
DRAGON_SOUL_EQUIP_WARNING1	Usuniêcie Smoczego Kamienia nie jest prost¹ spraw¹.
DRAGON_SOUL_EQUIP_WARNING2	Chcesz mimo to kontynuowaæ?
DRAGON_SOUL_EXPIRED	Wygas³y Smoczy Kamieñ
DRAGON_SOUL_INVALID_DRAGON_SOUL	To nieprawid³owy Smoczy Kamieñ.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	To nie jest Smoczy Kamieñ.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	To nieprawid³owy Smoczy Kamieñ.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nie posiadasz wystarczaj¹co materia³u do uszlachetnienia.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Dla swojego: %s\n potrzebujesz: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Masz za ma³o Yang, by zmieniæ bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ten Smoczy Kamieñ nie pasuje do tego slotu.
DRAGON_SOUL_STEP_LEVEL1	Jakoœæ: matowy,
DRAGON_SOUL_STEP_LEVEL2	Jakoœæ: przejrzysty,
DRAGON_SOUL_STEP_LEVEL3	Jakoœæ: bez skazy,
DRAGON_SOUL_STEP_LEVEL4	Jakoœæ: znakomity,
DRAGON_SOUL_STEP_LEVEL5	Jakoœæ: wyborny,
DRAGON_SOUL_STRENGTH	Poziom: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Smoczy Kamieñ mo¿e ulec zniszczeniu.
DRAGON_SOUL_UNEQUIP_WARNING2	Chcesz mimo to kontynuowaæ?
DRAGON_SOUL_UNMATCHED_SLOT	To nieprawid³owy slot.
DRAGON_SOUL_UNQUALIFIED	Nie mo¿esz jeszcze u¿yæ alchemii Smoczych Kamieni.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nie mo¿esz upuœciæ za³o¿onych przedmiotów.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nie mo¿esz upuœciæ przedmiotu z ekwipunku, jeœli otworzy³eœ prywatny sklep.
DROP_MONEY_FAILURE_1000_OVER	Mo¿esz upuœciæ maksimum 999 Yang.
DS_SYSTEM_MSG_1	Potrzebujesz %s%d razy.
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Zamknij wszystkie okna, zanim otworzysz aukcjê b³yskawiczn¹.
EMOTION_ALCOHOL	Na zdrowie!
EMOTION_ANGRY	Denerwowaæ
EMOTION_ATTRACTIVE	Uwodziæ
EMOTION_BANTER	Drwiæ
EMOTION_BUSY	Stres
EMOTION_CALL	Rozmowa telefoniczna
EMOTION_CELEBRATION	Impreza
EMOTION_CHARGING	Do³adowanie
EMOTION_CHEERS_1	Powitanie 1
EMOTION_CHEERS_2	Powitanie 2
EMOTION_CHEERUP	Rozweselaæ
EMOTION_CHOOSE_ONE	Wybierz cel
EMOTION_CLAP	Klaszcz
EMOTION_CLAP_KISS	Poca³unek
EMOTION_CONGRATULATION	Zgoda
EMOTION_DANCE_1	Taniec 1
EMOTION_DANCE_2	Taniec 2
EMOTION_DANCE_3	Taniec 3
EMOTION_DANCE_4	Taniec 4
EMOTION_DANCE_5	Taniec 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Drzemka
EMOTION_EXERCISE	Rozgrzewka
EMOTION_FORGIVE	Wybaczyæ
EMOTION_FRENCH_KISS	Francuski poca³unek
EMOTION_HUNGRY	G³ód
EMOTION_JOY	Radoœæ
EMOTION_LETTER	List mi³osny
EMOTION_NOSAY	Zaniemówiæ
EMOTION_PUSH_UP	Pompki
EMOTION_SAD	Smutek
EMOTION_SELFIE	Selfie
EMOTION_SHY	Odmowa
EMOTION_SIREN	Syrena
EMOTION_SLAP	Uderzenie
EMOTION_SMH	Piekielna Wie¿a Sunga Mahi
EMOTION_WEATHER_1	S³oñce
EMOTION_WEATHER_2	Têcza
EMOTION_WEATHER_3	Ksiê¿yc
EMOTION_WHIRL	Zamieszanie
EMPIRE_A	Królestwo Shinsoo
EMPIRE_B	Królestwo Chunjo
EMPIRE_C	Królestwo Jinno
EMPIRE_SELECT_MODE	Wybierz królestwo
EXCHANGE_CANNOT_GIVE	Nie mo¿esz handlowaæ tym przedmiotem.
EXCHANGE_CANT_EDIT_MONEY	Nie mo¿esz teraz zmieniæ kwoty.
EXCHANGE_FAILURE_EQUIP_ITEM	Nie mo¿esz wymieniæ ubranych przedmiotów.
EXCHANGE_MONEY	Kwota
EXCHANGE_TITLE	Handluj z: %s (|cff98ff33Lv. %d|r)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Potrzebujesz jeszcze Rozszerzenia Ekwipunku: %d
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Twój ekwipunek posiada ju¿ maksymaln¹ iloœæ rozszerzeñ.
EXINVEN_USE_ITEM_QUESTION	Czy chcesz powiêkszyæ swój ekwipunek u¿ywaj¹c %d Rozszerzeñ Ekwipunku?
FISHING_FAILURE	Straci³eœ przynêtê.
FISHING_NOTIFY1	Wygl¹da na to, ¿e na haczyku jest %s.
FISHING_NOTIFY2	Wygl¹da³o na to, ¿e %s wisi na haku.
FISHING_RENEWAL_CANNOT_EMOTION	Podczas wêdkowania nie mo¿esz okazywaæ emocji.
FISHING_RENEWAL_CANNOT_OPEN_1	Podczas wêdkowania nie mo¿esz tego otworzyæ.
FISHING_RENEWAL_CANNOT_OPEN_2	Nie mo¿esz wykonaæ tej akcji podczas wêdkowania.
FISHING_RENEWAL_QUESTION	Ryba wziê³a. Chcesz j¹ z³owiæ?
FISHING_RENEWAL_TIMEOUT	Minê³o za du¿o czasu. Ryba siê zerwa³a.
FISHING_SUCCESS1	Zdoby³eœ %s!
FISHING_SUCCESS2	Wy³owi³eœ %s!
FISHING_UNKNOWN	Coœ nadzia³o siê na haczyk, ale nie widzisz, co to jest.
FISHING_WRONG_PLACE	Nie mo¿esz tu ³owiæ ryb.
FLOWER_EVENT_USE_ITEM_TEXT1	Czy chcesz wymieniæ aktywny efekt?
FLOWER_EVENT_USE_ITEM_TEXT2	Próba mo¿e zakoñczyæ siê niepowodzeniem i kwiat wtedy zwiêdnie.
FOR_FEMALE	dla kobiet	
FOR_MALE	dla mê¿czyzn	
FRAGMENT_COMB_COST	Koszty po³¹czenia: %s
GAME_CANNOT_MINING	Nie mo¿esz wydobywaæ surowców podczas jazdy konnej.
GAME_CANNOT_PICK_ITEM	Nie mo¿esz podnieœæ tego Przedmiotu, nie ty go zdoby³eœ.
GAME_GUILDWAR_NOW_JOIN	Czy chcesz do³¹czyæ do wojny gildii?
GAME_INIT_ERROR_CURSOR	Kursor nie mo¿e zostaæ utworzony.
